company_a,company_b,similarity_score,decision,canonical_name
abu dhabi national oil co for distribution pjsc,national oil,100.0,reject,
alcoa,alcoa of australia,100.0,reject,
glencore,glencore peru sac,100.0,reject,
gm,gm korea,100.0,reject,
bmw brilliance automotive,brilliance china automotive,100.0,reject,
beijing shougang oxygen factory,shougang,100.0,reject,
hankook shell oil,shell,100.0,reject,
beijing shougang construction,shougang,100.0,reject,
fujikura kasei,fujikura kasei coating tianjin,100.0,reject,
beijing shougang gitane new materials,shougang,100.0,reject,
acciona,corp acciona energias renovables,100.0,reject,
guodian technology & environment,guodian technology m environment,100.0,approve,guodian technology & environment
beijing shougang international engineering technolog,shougang,100.0,reject,
gulf oil lubricants india,oil india,100.0,reject,
adaro energy indonesia tbk pt,adaro minerals indonesia tbk pt,100.0,reject,
fujikura,fujikura kaser coating foshan,100.0,reject,
chaoyang shougang beijing machinery,shougang,100.0,reject,
gem,gem services inc/tw,100.0,reject,
gazprom pjsc,pjsc gazprom gazoraspredeleniye ufa,100.0,reject,
geely automobile,zhejiang geely automobile parts purchasing,100.0,reject,
ge power india,ge t&d india,100.0,reject,
aker bp asa,bp,100.0,reject,
ge power india,ge power systems india pvt,100.0,reject,
bosch,robert bosch automotive steering,100.0,reject,
gazprom pjsc,pjsc gazprom gazoraspredelentye ufa,100.0,reject,
bp,bp castrol kk,100.0,reject,
bp,formosa bp chemicals,100.0,reject,
gazprom nett pjsc,gazprom pjsc,100.0,reject,
gazprom neft pjsc,gazprom pjsc,100.0,reject,
beijing shougang construction,beijing shougang refractory & metallurgical burden,100.0,reject,
ganfeng lithium,ganfeng lithium group co lfd,100.0,reject,
gac toyota motor,toyota motor,100.0,reject,
furukawa,furukawa castec,100.0,reject,
shanghai airport,shanghai international airport,100.0,reject,
coasia,coasia cm,100.0,reject,
shandong sunway chemical,sunway,100.0,reject,
komatsu,komatsu koki kk,100.0,reject,
hyundai transys,hyundai transys georgia powertrain,100.0,reject,
hyundai wia,hyundai wia automotive engine shandong,100.0,reject,
iljin,iljin bearing,100.0,reject,
impala,impala platinum,100.0,reject,
ina-holding schaeffler gmbh & co kg,schaeffler,100.0,reject,
indal aluminium industry tbk pt,indal aluminium industry tble pt,100.0,approve,indal aluminium industry tbk pt
industrias ch,industrias ch sab de cv,100.0,reject,
industries qatar qsc,qatar electricity & water co qsc,100.0,reject,
industries qatar qsc,qatar fuel qsc,100.0,reject,
ineos,ineos styrolution ludwigshafen,100.0,reject,
holcim,holcim ecuador,100.0,reject,
holcim,holcim costa rica,100.0,reject,
holcim,holcim argentina,100.0,reject,
hd hyundai electric,hd hyundai infracore,100.0,reject,
hd hyundai,hd hyundai and shell base oil,100.0,reject,
hyundai mobis,hyundai mobis mexico s de rl de cv,100.0,reject,
hyosung,hyosung advanced materials,100.0,reject,
hwa shin,shin hwa dynamics,100.0,reject,
