node,industry,country,in_degree,out_degree,word_count,decision
hua eng wire & cable,Metals & Mining,Taiwan,3,0,5,
hubei wanrun new energy technology,Technology Hardware,China,8,6,5,
huili county ma'anping mine feishi multipurpose utilization,Metals & Mining,China,1,0,7,
hunan baili engineering sci & tech,Engineering & Construction,China,1,0,6,
hunan yuneng new energy battery material,Technology Hardware,China,5,8,6,
hyundai mobis mexico s de rl de cv,Electrical Equipment,Mexico,2,0,8,
hyundai wia automotive engine shandong,Machinery,China,1,0,5,
incheon port authority,Transportation & Logistics,South Korea,2,0,3,
indal aluminium industry tbk pt,Metals & Mining,Indonesia,6,3,5,
indocement tunggal prakarsa tbk pt,Construction Materials,Indonesia,3,0,5,
indoritel makmur internasional tbk pt,Telecommunications,Indonesia,2,0,5,
industrial gas & welding electrode jsc,Electrical Equipment,Vietnam,1,0,6,
industrias ch sab de cv,Steel,Mexico,3,110,5,
ingenieria y construccion de matrices,Machinery,Spain,1,0,5,
inner mongolia baotou steel union,Steel,China,3,23,5,
inner mongolia dian tou energy,Metals & Mining,China,4,5,5,
inner mongolia east electric power,Electric Utilities,China,1,0,5,
inner mongolia huineng coal & electrical,Metals & Mining,China,1,0,6,
inner mongolia mengdian huaneng thermal power,Electric Utilities,China,4,0,6,
inner mongolia yuan xing energy,Chemicals,China,1,3,5,
international gas product shipping jsc,Transportation & Logistics,Vietnam,2,1,5,
j resources asia pasifik tbk,Metals & Mining,Indonesia,3,1,5,
japan organization for metals and energy security,Oil & Gas Producers,Japan,1,0,7,
jasa marga persero tbk pt,Transportation & Logistics,Indonesia,2,0,5,
jatim taman steel manufacturing pt,Steel,Indonesia,1,0,5,
jembo cable co tbk pt,Electrical Equipment,Indonesia,1,0,5,
jiangmen jiangci electric engineering enterprise,Electrical Equipment,China,1,0,5,
jiangsu baichuan high-tech new materials,Chemicals,China,1,3,5,
jiangsu lixing general steel ball,Automotive,China,5,22,5,
jiangsu tongguang electronic wire and cable,Electrical Equipment,China,1,0,6,
jiangsu yuxing industrial & trading,Chemicals,China,1,0,5,
jiangsu zhenjiang new energy equipment,Renewable Energy,China,2,0,5,
jiangxi black cat carbon black,Chemicals,China,2,9,5,
