node,industry,country,in_degree,out_degree,flag_reason,decision
c d waelzholz gmbh & co kg,Steel,Germany,1,0,low degree,
c d walzholz international,Metals & Mining,Germany,1,0,low degree,
c&d holsin engineering consulting,Engineering & Construction,China,1,0,low degree,
c&u,Industrial Intermediate Prod,South Korea,1,0,low degree,
cadre,Machinery,USA,1,0,low degree,
caica digital,Technology Services,Japan,1,0,low degree,
cairo airport,Transportation & Logistics,Egypt,1,0,low degree,
california cartage,Transportation & Logistics,USA,1,0,low degree,
california resources,Oil & Gas Producers,USA,1,0,low degree,
california steel industries,Steel,USA,1,0,low degree,
calik enerji sanayi ve ticaret as,Engineering & Construction,Turkey,1,0,low degree,
calko steel,Industrial Intermediate Prod,Canada,1,0,low degree,
callinex mines,Metals & Mining,Canada,1,0,low degree,
calstrip industries,Steel,USA,1,0,low degree,
cammsys,Semiconductors,South Korea,1,0,low degree,
canadian national railway,Transportation & Logistics,Canada,1,0,low degree,
canadian utilities,Gas & Water Utilities,Canada,1,0,low degree,
canam,Industrial Intermediate Prod,Canada,1,0,low degree,
canam steel,Steel,Canada,1,0,low degree,
canex metals,Metals & Mining,Canada,1,0,low degree,
cangzhou china railway equipment manufacturing material,Steel,China,1,0,low degree,
canon marketing japan,Technology Hardware,Japan,1,0,low degree,
cao bang cast iron and steel jsc,Metals & Mining,Vietnam,1,0,low degree,
capita,Oil & Gas Producers,Japan,1,0,low degree,
capital a bhd,Transportation & Logistics,Malaysia,1,0,low degree,
carbo ceramics,Oil & Gas Services & Equip,USA,1,0,low degree,
carborundum universal,Construction Materials,India,1,0,low degree,
caribbean utilities,Electric Utilities,Cayman Islands,1,0,low degree,
carl spaeter,Steel,Germany,1,0,low degree,
carlos mainero y cia saicfi,Machinery,Argentina,1,0,low degree,
cars motorcycles and marine engine trade and import,Automotive,Greece,1,0,low degree,
casio computer,Technology Hardware,Japan,1,0,low degree,
cast parts,Steel,USA,1,0,low degree,
cato ridge alloys pty,Chemicals,South Africa,1,0,low degree,
ccr,Transportation & Logistics,Brazil,1,0,low degree,
cct fortis,Technology Hardware,Bermuda,1,0,low degree,
cecep environmental protection,Engineering & Construction,China,1,0,low degree,
cecep solar energy,Electric Utilities,China,1,0,low degree,
cedisa central de aco s/a,Steel,Spain,1,0,low degree,
cefc anhui international holding,Oil & Gas Producers,China,1,0,low degree,
cematrix,Construction Materials,Canada,1,0,low degree,
cenit,Steel,South Korea,1,0,low degree,
centerpoint energy,Electric Utilities,USA,1,0,low degree,
central glass,Construction Materials,Japan,1,0,low degree,
