company_a,company_b,similarity_score,count_a,count_b
beijing shougang international engineering technolog,shougang,100,1,14
gulf oil lubricants india,oil india,100,1,2
adaro energy indonesia tbk pt,adaro minerals indonesia tbk pt,100,4,1
guangzhou jfe steel sheet,jfe,100,2,163
guangzhou industrial investment,guangzhou industrial investment holding,100,2,1
beijing shougang lujiashan limestone mine,shougang,100,1,14
guangzhou great power energy & technology,guangzhou great power energy w technology,100,2,4
beijing shougang refractory & metallurgical burden,shougang,100,1,14
gmb,gmb korea,100,10,2
benxi beiying iron & steel,benxi iron & steel,100,5,1
benxi iron & steel,benxi iron & steel international economic & trading,100,1,2
berjing shougang,shougang,100,5,14
guangdong xinhui meida nylon,guangdong xinhui meida nylon co lid,100,1,1
adient,changchun faway adient automotive metal component,100,6,1
bhp,bhp billiton mitsubishi alliance,100,36,1
grupa azoty,grupa azoty zaklady chemiczne police,100,1,3
groupement sonatrach agip,sonatrach,100,1,2
bhp billiton mitsubishi alliance,mitsubishi,100,1,1
great plains industries,great plains ventures,100,1,1
gonvauto,gonvauto thueringen,100,1,1
blue bird,blue bird tbk pt,100,3,1
gonvauto,gonvauto navarra,100,1,1
fujikura,fujikura kasei coating tianjin,100,6,1
furukawa,furukawa battery co ltd/the,100,5,2
fujikura,fujikura composites,100,6,1
esab seah,seah,100,1,44
formosa sumco technology,sumco,100,3,2
canon,canon marketing japan,100,3,1
fuji furukawa engineering & construction,furukawa,100,2,5
beijing shougang construction,beijing shougang oxygen factory,100,1,1
flame,shanxi blue flame holding,100,1,1
faw volkswagen automotive,volkswagen,100,10,152
beijing shougang construction,beijing shougang lujiashan limestone mine,100,1,1
faw jiefang,faw jiefang qingdao automobile,100,11,1
exedy,exedy vietnam,100,7,1
alumnium corp of china,power construction corp of china,100,10,3
escorts kubota,kubota,100,1,21
cgn yulchon generation,yulchon,100,1,1
chandra asri petrochemical ibk pt,chandra asri petrochemical tbk pt,100,7,4
chang wah electromaterials,chang wah technology,100,3,4
byd,byd electronic international,100,123,2
engie,engie energia peru,100,4,1
engie,engie energia chile,100,4,4
engie,engie brasil energia,100,4,3
aneka tambang ibk,aneka tambang tbk,100,6,39
changan ford automobile,china changan automobile,100,7,4
changqing changan automobile,china changan automobile,100,20,4
enel chile,enel generacion chile,100,2,2
enel chile,enel distribucion chile,100,2,13
enel,enel generacion piura,100,19,2
beijing shougang construction,beijing shougang international engineering technolog,100,1,1
enel,enel generacion peru saa,100,19,10
enel,enel generacion costanera,100,19,1
enel,enel generacion chile,100,19,2
byd,byd motors,100,123,1
alumium corp of china,power construction corp of china,100,10,3
chiyoda,chiyoda ute,100,9,1
braskem,braskem idesa sapi,100,28,1
fuji,fuji die,100,1,1
bridgestone,brisa bridgestone sabanci sanayi ve ticaret as,100,18,4
fuji,fuji hensokuki,100,1,1
alpha,zero alpha solutions,100,1,1
fuji,fuji kosan,100,1,1
fuji,fuji oil,100,1,1
fuji,fuji ps,100,1,2
fuji,fuji seiko,100,1,2
alpha,ljg green source energy alpha srl,100,1,2
bumi resources minerals tbk pt,bumi resources tbk pt,100,1,4
bup billion mitsubishi alliance,mitsubishi,100,1,1
fuji,fuji corp/aichi,100,1,3
bp,lightsource bp,100,71,1
freightliner,freightliner trucks,100,1,1
bx steel posco cold rolled sheet,posco,100,2,273
aluminum corp of china,power construction corp of china,100,39,3
freeport indonesia pt,freeport indonesia pt/delaware,100,2,1
fuji,fuji furukawa engineering & construction,100,1,2
state oil co of the azerbaijan republic,state oil co of the azerbaijan republic:,98.630135,7,2
